17,780,70,27,288,2556,655
8,676,21,22,98,2608,629
11,702,35,17,114,2720,590
27,756,10,2,119,3400,701
13,618,19,17,137,2759,609
33,724,43,12,340,3039,651
32,591,102,29,999,1813,615
31,677,1,15,0,0,0
21,694,54,32,793,1989,656
15,647,131,29,404,1655,610
36,733,23,15,92,2913,641
25,718,18,8,143,3297,693
34,556,68,47,952,1491,629
18,715,6,17,19,2954,648
4,685,31,18,163,2856,645
2,722,57,38,483,2074,661
9,817,47,20,191,2766,648
10,849,29,19,148,3045,686
24,705,21,6,475,3258,692
7,668,23,18,159,2959,648
12,625,129,24,904,1684,625
26,754,16,13,131,3068,675
30,666,141,23,915,1827,676
6,741,6,17,35,3074,676
14,671,0,17,0,3029,663
20,724,8,17,68,3149,680
28,711,14,6,221,3217,679
37,884,59,11,616,3476,762
19,859,287,17,584,1907,662
35,685,56,6,429,3106,660
5,738,43,19,114,3288,718
3,691,22,18,70,2774,611
1,674,0,17,0,2994,656
