17,659,214,127,1525,1472,695
25,656,51,10,3887,3134,669
11,812,94,33,414,2368,599
6,753,148,70,719,2247,669
13,636,4,37,20,2909,638
19,815,377,40,2537,1285,639
32,447,324,34,10305,971,666
31,644,17,90,0,0,0
21,620,158,46,2315,1044,612
15,578,203,119,1815,1257,673
36,733,68,41,724,2493,646
8,699,204,69,1559,1682,658
34,402,246,153,8562,1000,669
18,758,7,52,43,2950,654
4,750,50,88,882,2451,696
24,644,33,7,2629,3038,643
2,679,155,81,2622,1494,663
9,531,172,205,2434,1023,650
10,727,149,51,1265,1850,651
27,581,283,40,2971,2546,684
7,635,70,39,2106,2532,636
12,560,336,63,5834,1218,658
26,768,104,74,1196,2273,685
30,190,181,317,3233,541,616
14,639,2,67,56,2995,669
20,797,25,85,449,2794,684
28,717,23,4,1264,3043,631
37,900,92,46,4124,2689,676
33,829,138,18,3360,2556,645
35,637,53,9,2923,2971,648
5,636,8,32,259,2886,634
3,690,164,32,1689,1574,622
1,632,0,30,0,2861,624
