17,722,24,19,25,2772,636
25,678,7,3,12,3170,651
11,690,40,12,66,2921,631
27,662,4,2,7,3015,618
8,694,18,20,50,2825,663
13,678,10,12,31,3120,657
19,833,96,12,98,2949,660
18,742,0,12,0,3165,669
31,674,0,16,0,0,0
21,678,20,29,106,2400,633
15,660,62,23,121,2205,623
36,694,6,10,23,2995,628
28,698,6,1,10,3260,666
34,575,37,41,289,1797,613
32,675,32,23,237,2640,670
4,661,18,13,24,2974,635
2,749,23,33,146,2660,695
9,727,16,13,51,2791,614
10,800,7,12,41,3115,664
24,686,2,3,39,3172,660
7,669,10,15,9,2970,627
12,650,76,34,325,2189,644
26,742,8,9,29,3280,687
30,659,43,15,93,2639,617
6,657,4,12,20,2905,621
14,685,0,12,0,3185,673
20,702,2,12,19,3230,676
37,701,35,6,115,2941,629
33,675,24,9,169,2954,630
35,639,32,4,66,2945,614
5,655,33,12,76,2962,637
3,740,17,12,29,3200,680
1,697,1,12,0,3215,680
