17,736,86,52,441,1928,617
25,732,21,4,799,3432,717
11,784,39,29,69,2864,649
27,736,104,2,943,2970,695
8,737,45,32,187,2426,647
13,653,7,29,106,2946,645
19,935,253,30,777,2210,685
32,606,145,26,2613,1667,660
31,735,0,40,0,0,0
21,619,84,57,1171,1572,633
15,682,77,43,302,2013,644
36,772,21,28,185,2760,611
28,684,17,5,685,3062,644
34,467,100,69,1476,1253,591
18,713,7,29,96,2861,627
4,747,17,33,172,3151,695
2,715,99,58,1554,1755,681
9,765,90,31,622,2303,629
10,785,42,30,283,2728,644
24,670,29,5,1308,3143,665
7,663,36,31,291,2723,628
12,407,221,204,4306,1206,647
26,730,22,29,79,2747,620
30,584,235,31,2242,1591,663
6,739,8,29,36,2816,620
14,740,1,31,0,3442,750
20,702,7,29,54,3021,659
37,839,52,10,1624,3047,682
33,754,59,12,1666,2939,644
35,653,40,6,1153,3011,647
5,663,20,29,155,2916,640
3,803,41,30,188,3011,669
1,622,4,29,34,2796,614
