17,591,364,25,1066
8,633,212,21,411
11,604,507,24,1029
27,691,93,2,167
13,611,5,21,34
19,610,582,20,1154
32,432,338,20,6961
31,643,35,16,0
21,593,320,30,1819
15,523,266,38,1092
36,629,138,18,281
25,643,29,3,717
34,196,386,317,3444
18,655,59,20,12
4,602,255,24,706
2,539,326,22,2219
9,527,481,21,1431
10,585,457,21,1237
24,668,24,1,204
7,680,32,25,232
12,515,343,23,3120
26,659,282,14,198
30,456,470,6,3492
6,636,268,21,434
14,656,3,20,0
20,672,194,24,185
28,662,35,3,1044
37,662,425,5,2980
33,630,291,6,2316
35,700,66,3,2587
5,685,26,20,510
3,665,354,24,536
1,646,31,20,0
