17,669,185,17,58
25,614,57,7,517
11,671,193,22,192
6,730,48,24,76
13,657,26,21,104
33,606,173,13,877
32,486,188,178,1390
31,594,82,24,0
21,675,134,21,295
15,574,175,24,291
36,656,137,14,151
8,680,74,25,107
34,514,342,25,1770
18,640,71,21,18
4,658,37,23,55
2,632,266,21,195
9,610,195,24,108
10,610,217,22,60
24,648,32,4,335
7,658,37,24,45
12,636,140,22,353
26,678,92,16,108
30,665,182,7,272
14,646,9,21,0
20,670,20,21,45
28,634,69,5,514
37,627,240,6,784
19,617,219,21,310
35,630,118,6,769
5,666,74,22,190
27,669,34,2,176
3,703,297,21,7
1,674,32,22,0
