17,656,254,6,219
25,666,17,3,110
11,629,300,15,295
27,686,16,1,33
8,653,138,17,220
13,643,18,11,118
19,661,335,11,390
32,570,187,16,2063
31,665,22,6,0
21,630,149,14,761
15,603,259,26,575
36,738,208,9,125
28,683,22,1,200
34,432,403,63,1996
18,661,94,11,15
4,671,81,12,192
24,683,11,2,7
2,629,210,12,952
9,666,386,12,482
10,640,303,12,363
6,681,117,13,117
7,678,17,11,71
12,539,299,19,3370
26,684,115,5,44
30,647,290,6,1529
14,662,6,11,0
20,661,54,11,145
37,585,198,4,356
33,661,191,8,453
35,689,39,3,568
5,656,29,11,139
3,696,389,11,87
1,699,16,11,0
